entry_time,exit_time,strike,option_type,entry_price,exit_price,pnl
2023-03-10 09:43:00+05:30,2023-03-10 10:03:00+05:30,17350.0,PE,125.25,100.9,2434.9999999999995
2023-03-10 10:52:00+05:30,2023-03-10 11:14:00+05:30,17400.0,CE,4575.0,5052.35,47735.00000000004
2023-03-13 09:20:00+05:30,2023-03-13 09:21:00+05:30,17400.0,CE,4575.0,5052.35,47735.00000000004
2023-03-13 09:33:00+05:30,2023-03-13 09:35:00+05:30,17500.0,CE,596.05,394.0,-20204.999999999996
2023-03-13 12:17:00+05:30,2023-03-13 12:35:00+05:30,17350.0,PE,125.25,80.05,4520.0
2023-03-14 13:14:00+05:30,2023-03-14 13:35:00+05:30,17000.0,PE,29.0,89.2,-6020.0
2023-03-15 09:31:00+05:30,2023-03-15 09:34:00+05:30,17150.0,CE,513.7,900.0,38629.99999999999
2023-03-15 10:57:00+05:30,2023-03-15 11:23:00+05:30,17100.0,PE,89.2,121.0,-3179.9999999999995
2023-03-16 09:46:00+05:30,2023-03-16 10:25:00+05:30,16900.0,PE,20.4,51.1,-3070.0000000000005
2023-03-16 10:37:00+05:30,2023-03-16 11:01:00+05:30,17000.0,CE,1238.05,2402.95,116489.99999999999
2023-03-16 11:06:00+05:30,2023-03-16 11:10:00+05:30,17000.0,CE,1238.05,2402.95,116489.99999999999
2023-03-16 12:04:00+05:30,2023-03-16 12:23:00+05:30,16950.0,PE,51.1,20.4,3070.0000000000005
2023-03-16 12:26:00+05:30,2023-03-16 12:27:00+05:30,16950.0,PE,51.1,20.4,3070.0000000000005
2023-03-16 12:30:00+05:30,2023-03-16 12:32:00+05:30,16900.0,PE,20.4,51.1,-3070.0000000000005
2023-03-16 14:27:00+05:30,2023-03-16 14:51:00+05:30,17050.0,CE,2402.95,1238.05,-116489.99999999999
2023-03-17 13:47:00+05:30,2023-03-17 15:15:00+05:30,17000.0,CE,600.0,600.0,0.0
2023-03-20 09:33:00+05:30,2023-03-20 10:01:00+05:30,16950.0,PE,63.45,36.8,2665.0000000000005
2023-03-20 10:10:00+05:30,2023-03-20 10:57:00+05:30,16900.0,PE,36.8,63.45,-2665.0000000000005
2023-03-20 14:43:00+05:30,2023-03-20 15:15:00+05:30,17000.0,CE,600.0,600.0,0.0
2023-03-20 15:25:00+05:30,2023-03-20 15:26:00+05:30,17000.0,CE,600.0,600.0,0.0
